abandonner
rompre
rouler
saisir
saison
saluer
satisfaire
sauter
sauvage
sauver
savoir
savoir
science
second
seconde
secours
secret
secret
secrétaire
seigneur
semaine
semblable
sembler
sentier
sentiment
sentir
séparer
sérieux
serrer
service
servir
seulement
siècle
signer
signifier
silence
silencieux
simple
simplement
situation
social
société
soirée
soldat
soleil
solitude
sombre
sommeil
sommet
songer
sonner
sortir
soudain
souffler
souffrance
souffrir
souhaiter
soulever
soumettre
source
sourire
sourire
soutenir
souvenir
souvenir
souvent
spectacle
succès
suffire
suivant
suivre
supérieur
supporter
supposer
surprendre
surtout
surveiller
système
taille
tandis que
tantôt
tellement
témoin
tempête
tendre
tendre
tenter
terminer
terrain
terreur
terrible
théâtre
tomber
toucher
toujours
tourner
tracer
traîner
traiter
tranquille
transformer
travail
travailler
travers
traverser
trembler
trente
trésor
triste
troisième
tromper
troubler
trouver
unique
vaincre
valeur
valoir
veille
veiller
vendre
ventre
véritable
vérité
verser
vêtement
victime
vieillard
village
violence
violent
visage
visible
vision
visite
vivant
voisin
voisin
voiture
volonté
vouloir
voyage
voyager
vraiment
